2021-08-22T05:00:09.041450100  Imp lvl:1,Connector,autoConnect,
2021-08-22T05:00:09.182039  Imp lvl:2,GUI.LoginPanel,constructor,
2021-08-22T05:00:09.213286400  Imp lvl:2,GUI.SignUpPanel,constructor,
2021-08-22T05:00:09.213286400  Imp lvl:2,GUI.MyProfilePanel,constructor,
2021-08-22T05:00:09.213286400  Imp lvl:2,GUI.HomePanel,constructor,
2021-08-22T05:00:09.228903200  Imp lvl:2,GUI.HomeButtonPanel,constructor,
2021-08-22T05:00:09.228903200  Imp lvl:2,GUI.ExplorePanel,constructor,
2021-08-22T05:00:09.244525600  Imp lvl:2,GUI.ChatPanel,constructor,
2021-08-22T05:00:09.244525600  Imp lvl:2,GUI.TimelinePanel,constructor,
2021-08-22T05:00:09.244525600  Imp lvl:2,GUI.FloatPanel,constructor,
2021-08-22T05:00:09.244525600  Imp lvl:2,GUI.MainPanel,constructor,
2021-08-22T05:00:09.244525600  Imp lvl:2,GUI.ButtonPanel,constructor,
2021-08-22T05:00:09.244525600  Imp lvl:2,GUI,start,
2021-08-22T05:00:12.384400500  Imp lvl:2,GUI.LoginPanel,button1,
2021-08-22T05:00:12.384400500  Imp lvl:1,Connector,loginRequest,
2021-08-22T05:00:12.400053300  Imp lvl:2,GUI,loginSuccessful,
2021-08-22T05:00:12.400053300  Imp lvl:2,ThisUser,setUser,
2021-08-22T05:00:12.400053300  Imp lvl:1,Connector,userRequest,
2021-08-22T05:00:12.446889200  Imp lvl:2,GsonReader,readUser,
2021-08-22T05:00:12.478127900  Imp lvl:2,GUI,showHome,
2021-08-22T05:00:12.478127900  Imp lvl:2,GUI.MainPanel,setHomePanel,
2021-08-22T05:00:13.290437900  Imp lvl:2,GUI.HomeButtonPanel,button1,
2021-08-22T05:00:13.290437900  Imp lvl:2,GUI,homeShowMyTwitts,
2021-08-22T05:00:13.290437900  Imp lvl:2,GUI.HomePanel,showUserTwitts,
2021-08-22T05:00:13.290437900  Imp lvl:1,Connector,twittListRequest,
2021-08-22T05:00:13.290437900  Imp lvl:2,GsonReader,readTwitt,
2021-08-22T05:00:13.306055200  Imp lvl:2,GsonReader,readTwitt,
2021-08-22T05:00:13.321677700  Imp lvl:2,GUI.TwittPane,constructor,
2021-08-22T05:00:13.321677700  Imp lvl:2,GUI.SingleTwittPanel,constructor,
2021-08-22T05:00:13.337301300  Imp lvl:2,GUI.SingleTwittPanel,constructor,
2021-08-22T05:00:13.774902700  Imp lvl:2,GUI.HomeButtonPanel,button2,
2021-08-22T05:00:14.868403200  Imp lvl:2,GUI.HomeButtonPanel,button3,
2021-08-22T05:00:14.868403200  Imp lvl:1,Connector,userListRequest,
2021-08-22T05:00:14.883805600  Imp lvl:2,GUI,homeShowUserList,
2021-08-22T05:00:14.883805600  Imp lvl:2,GUI.HomePanel,showUserList,
2021-08-22T05:00:14.883805600  Imp lvl:2,GUI.UserPane,constructor,
2021-08-22T05:00:14.883805600  Imp lvl:2,GUI.SingleUserPanel,constructor,
